reference,system,r1_f
"eine neue art sexueller signale hat nach eigenen angaben eine arbeitsgruppe um den biologen gerhard gries von der simon fraser university in kanada bei goldfliegen ( lucilia sericata ) entdeckt. demnach erzeugen die einzelnen flügelschläge der fliegen bei gutem wetter kurze blitze reflektierten sonnenlichts - und deren abfolge macht fliegenmännchen heiß. wie das team berichtet, schlagen fortpflanzungsbereite jungweibchen ihre flügel mit einer spezifischen frequenz von 178hertz - und genau diese blitzfrequenz lockt potenzielle väter an. der befund erkläre womöglich auch, weshalb sich fliegen bei bewölkung weniger paaren, so gries : bei bedecktem himmel gibt es keine reflexionen. fliegen können unter den insekten mit am besten sehen und bilder extrem schnell ver","als mate-erkennung ( engl. mate recognition ) wird die fähigkeit der höheren tiere bezeichnet, unterstützung für ihren verkehr in der umwelt durch visuelle signale zu erzeugen, zusammen mit der fähigkeit, den nachwuchs männlicher tiere zu erkennen. demnach besteht ein programm, das die visuelle verarbeitung von aufzeichnungen und druck-bewegungen der flügel und der weiblichen tiere zum ziel hat. die männlichen tiere verarbeiten dieses programm, während die weib",17.89
"ein auge für licht, ein auge für schatten : so kann man die bizarre evolutionäre anpassung des kraken histioteuthis heteropsis beschreiben. das rötlich gefleckte tier hat zwei sehr unterschiedliche augen - ein normales und ein stark vergrößertes mit gelblicher farbe. eine arbeitsgruppe um katen. thomas von der duke university in durham hat nun anhand von filmaufnahmen der tiere den grund dafür entschlüsselt : demnach späht das große auge nach fressfeinden, die sich gegen das diffuse restlicht abzeichnen. das kleinere auge dagegen hält nach dem leuchten potenzieller beute ausschau. der tintenfisch lebt im mesopelagial etwa zwischen 300und 600meter tiefe, wohin nur noch extrem geringes restlicht fällt. dort ist es bereits so","als mesopelagisches sehen ( von altgriechisch μέσος mésos mittlerer und λίθος líthos, deutsch ‚tiefe ‘ und altgriechisch λίθος líthos, deutsch ‚stein ‘ ) bezeichnet man die visuelle wahrnehmung von licht in den tiefen von meeren und binnengewässern, denn die räumliche ausdehnung des gesichtsfeldes nimmt mit zunehmender wanderung der leuchtdichte ab und die anpassung der sehwinkel ändert sich mit zunehmender wanderung der leuchtdichte.",20.22
"die westliche grannen - kiefer ( pinus longaeva ) erfreut sich bei forschern großer beliebtheit : botaniker schätzen sie wegen ihrer extremen langlebigkeit - viele lebende exemplare sind zwischen 4000 und 5000jahren alt. geowissenschaftler mögen sie, weil sie wegen ihres hohen lebensalters in ihrem holz zahlreiche hinweise auf frühere klimaänderungen oder kosmischen ereignisse gespeichert hat. und weil in der trockenen höhenluft ihrer heimat im westen der usa auch totholz nur sehr langsam verwittert, können die forscher fast bis zur letzten eiszeit zurück daten gewinnen. auf diese weise spürten timothy jull von der university of arizona in tucson, fusa miyake von der universität nagoya und ihr team ein extremes solares ereignis auf, das vor mehr als 7000jahren","die bristlecone-pine-chronologie ( engl. bristlecone pine chronology ) ist eine chronologie für das alter der letzten 14 c-messungen, die 1971 bei einer forschungsgruppe um lamarche et al. an der university of arizona und der stanford university in kalifornien durchgeführt wurden.",15.85
"zur normalität in der arktis gehört mittlerweile anscheinend, dass regelmäßig kräftige winterstürme warme luft weit nach norden bringen und selbst rund um den nordpol die temperaturen in rekordverdächtige höhen treiben. normalerweise sollten derzeit wegen der polarnacht durchschnittlich minus 20bis minus 30grad in der arktis herrschen. doch am vergangenen mittwoch ( 8. februar ) stiegen die temperaturen nach einem sturmtief in die nähe des gefrierpunkts - wobei der anstieg innerhalb von nur 24stunden stattfand. das phänomen soll sich am wochenende wiederholen, wenn ein weiterer orkan an der grönländischen ostküste nach norden zieht. dieses tief soll laut den vorhersagen sogar noch wärmere luftmassen mit sich führen als sein vorgänger, so die prognosen. der sturm entstand in der or","der arctic sea ice extent, oder auch nsidc/s ist ein oceanografischer begriff, der den zustand der arktis in den vergangenen jahren beschreibt. das phänomen findet sich auch in der meteorologie.",18.75
"wenn heeresameisen losziehen, ist der regenwald in aufruhr : zu zehntausenden marschieren sie auf der suche nach einem neuen neststandort über den grund und überwältigen unterwegs fast jedes tier, das ihnen über den weg läuft. dennoch sucht die kleine, neu entdeckte käferart nymphister kronaueri gezielt die gesellschaft der ameisen auf, um sich durch den wald transportieren zu lassen - als anhängsel am hinterteil der unfreiwilligen vehikel. entdeckt haben die beiden biologen christoph von beeren von der tudarmstadt und daniel kronauer von der rockefeller university in newyork dieses verhalten zufällig : kronauer hatte eine der ameisen gefangen und beim betrachten bemerkt, dass das insekt anscheinend zwei hinterleibe besaß. er schüttelte das glasröhrchen",nymphister-associated haeteriinae ist eine in entwicklung befindliche art der gattung nymphister aus der familie der insekten ( dermestidae ).,10.53
"das müllproblem der menschheit hat längst auch die abgelegensten regionen des planeten erreicht. selbst auf dem grund des arktischen ozeans sammeln sich glasscherben, plastiktüten und weggeworfene fischernetze, wie forscher des alfred - wegener - instituts ( awi ) in bremerhaven in einer aktuellen studie berichten. die meeresökologen haben im zeitraum von 2002 bis 2014 an zwei messpunkten wiederholt den boden des nordpolarmeers fotografiert. auf 7058 aufnahmen habe man dabei insgesamt 89müllteile entdeckt, berichten sienun. plastik und anderer müll in den weltmeeren bereitet experten schon länger große sorgen. bisher gibt es aber wenige langzeitstudien, die die verschmutzung des meeresbodens untersuchen. vor diesem hintergrund wirkt die bremerhavener untersuchung sehr bedenk","meeres litter ist die bezeichnung für die vom meerwasser abgesonderten  litter, die im meer vorkommen. laut ozeanographischer literatur wird meeres litter auch als die weiße meereskugel, die weiße felskugel oder die gelbe meeresbucht bezeichnet.",12.08
"wenn bären und wölfe um beute streiten, ziehen letztere meist den kürzeren. bisher dachten wissenschaftler, dass die rudeltiere deshalb häufiger auf die jagd gehen, wenn sie ihren lebensraum mit bären teilen. schließlich müssen sie die beute, die ihnen die großen pelztiere abspenstig machen, irgendwie kompensieren. vielleicht ist aber auch das gegenteil der fall, spekuliert nun ein skandinavisch - amerikanisches forscherteam : wolfsrudel töten demnach seltener, wenn sie regelmäßig auf ursus arctos treffen. das team um aimee tallian von der utah state university in logan wertete daten von zwei langzeituntersuchungen in zentralskandinavien und im amerikanischen yellowstone - nationalpark aus. in schweden und norwegen folgten forscher zwischen 2001 und 2015 insgesamt","die kill rate ( dt. kill rate ) bzw. kill-intervall ist in der ökologie ein maß für die fähigkeit von ökologischen störungen. die kill-rate ist ein maß für die ökologische differenz von ökologischen störungen, die durch wechselwirkungen zwischen verschiedenen arten von wirbeltieren auftreten.",14.63
"wie identifiziert man ein tier, das man nicht anfassen kann? vor diesem problem stand eine arbeitsgruppe um mark d. scherz von der lmumünchen, die sich der erforschung spezieller geckos aus madagaskar gewidmet hat. diese so genannten fischschuppengeckos werfen bei der kleinsten berührung ihre schuppen ab und laufen nackt weiter. ein effektiver schutz vor raubtieren, nicht aber vor dem münchener forscherteam, das extra eine berührungsfreie fang - und bestimmungsmethode entwarf : die tiere werden in plastiktüten gelockt und im labor mit röntgenstrahlen durchleuchtet. der lohn der arbeit : eine neue art namens geckolepsis megalepsis. um diese vermutete neue art mit den besonders großen schuppen von ähnlichen",geckolepis ist eine ausgestorbene gattung von kugelgeckos aus der familie der comoroverwandten.,8.26
"die marsforschung hat ein problem. einerseits deuten unzählige formationen an der oberfläche des roten planeten darauf hin, dass es dort einst flüssiges wasser in großen mengen gab - andererseits erscheint es immer weniger plausibel, dass das jemals möglich war. denn alle sonstigen indizien deuten darauf hin, dass der mars schon immer zu kalt und zu trocken für gewässer war. aktuelle ergebnisse des mars - rovers curiosity verschärfen das problem nun noch einmal : nach seinen befunden aus sedimentanalysen ist die wahrscheinlichste erklärung, eine an kohlendioxid reiche atmosphäre habe den planeten hinreichend erwärmt, nun hinfällig. bekanntermaßen geht mit kohlendioxid in der atmosphäre karbonat in gewässern einher - und das müsste sich auch in den sedimenten finden. in den","die geschichte des ykb-sees ist eine reihe von sedimentologischen untersuchungen über einen zeitraum von 6 ± 2 jahren in der yellowknife bay. die untersuchung von sedimentgesteinen der ykb-see basiert auf einer sammlung von sedimentuntersuchungen, die zwischen 1957 und 1960 durchgeführt wurden.",10.47
"flugreisende sind vermutlich bei manchen flügen deutlich höheren strahlungsdosen ausgesetzt als bisher gedacht. zu diesem ergebnis kommt ein von der us - raumfahrtbehörde nasa finanziertes messprogramm in verkehrsflugzeugen, das die tatsächliche belastung durch kosmische strahlung bestimmen sollte. bereits 2016 veröffentlichte die arbeitsgruppe fünf beispiele von verschiedenen flügen, auf denen ein solches phänomen auftrat. bekannt ist, dass wir bei flügen einer deutlich höheren strahlendosis ausgesetzt sind als am boden - je höher und je näher an den polen, desto mehr. wie das so genannte armas - programm ( automated radiation measurements for aerospace safety ) zeigen konnte, schwankt die strahlendosis auf flügen jedoch stark. regelrechte strahlungsausbrüche lassen die","eine hochatmosphärenstrahlung ( engl. high-altitude radiation, surge ) bezeichnet in der luftfahrt eine ionisierende strahlung, die bei flughöhe über die umgebung der atmosphäre ausgesandt wird. bei der messung wird dabei der anteil der kosmischen strahlung an der hochatmosphäre doppelt doppelt doppelt doppelt dargestellt.",11.11
"in der schule lernt man gemeinhin, dass edelgase unter normalen umständen keine bindungen eingehen, weil sie keine freien valenzelektronen haben. doch das stimmt so nicht. hinter dieser vereinfachung verbirgt sich eine vielfalt exotischer edelgasverbindungen - besonders des xenons, wie das sogar in wasser stabile xenondifluorid. helium allerdings ist der exot unter den exoten - selbst fluor ist nicht aggressiv genug, ihm dauerhaft elektronen zu entreißen und so eine bindung möglich zu machen. vom kleinsten edelgas gab es bisher nur einschlussverbindungen in silikaten, kuriose kondensate, kurzlebige konstrukte in überschallschnellen gasstrahlen und so genannte van - der - waals - verbindungen, die bei hohen drücken durch schw","als stabile, thermodynamisch stabile chemische verbindungen des heliums werden in der chemie bezeichnet. es handelt sich um verbindungen, bei denen der druck und die elektronenkonfiguration des anionenakzeptors des heliums unzureichend sind. damit sind stabile verbindungen stabiler als einschlussverbindungen. es gibt thermodynamisch stabile verbindungen des heliums und natriums na 2 he.",16.88
"die leistung von fleisch fressenden pflanzen wird oft unterschätzt, obwohl sie es doch geschafft haben, zwei grundsätzlich unterschiedliche lebensentwürfe gleichzeitig umzusetzen : sie betreiben fotosynthese, schaffen es aber zugleich, futter zu fangen und zu verdauen und so unter denkbar ungünstigen umweltbedingungen zu überleben. dies muss im lauf der evolution auch eine erhebliche flexibilität des pflanzlichen erbguts erfordert haben, ahnten botaniker schon lange. was im genom der fleischfresser dabei tatsächlich geschah, hat ein internationales team um kenji fukushima vom national institute for basic biology im japanischen okazaki am beispiel der australischen kannenpflanze cephalotus follicularis und dreier weiterer spezies herausgearbeitet, die alle nicht eng miteinander verwandt sind. dabei zeigt sich : im","die verdauungsintensität bezeichnet die energieaufnahme durch verdauungsenzyme, die in den blättern der pflanzenteile enthalten sind. bei pflanzenteile, die verdauungsintensität jedoch überwiegend – wie z. b. dieffel ( follicularis ) – produziert werden, ist die verdauungsintensität eingeschränkt, d. h. die stoffwechselanpassung der blätter wird behindert. pflanzenteile, die verdauungsintensität fördern, werden als",9.52
"es ist vollbracht : die britische polarstation halleyvi hat nach einem wochenlangen umzug endlich ihre neue position auf dem antarktischen brunt - eisschelf erreicht, meldet der british antarctic survey ( bas )- eine logistische meisterleistung im wettlauf gegen die zeit. die acht einzelmodule mussten - erstmals in ihrer geschichte - auf überdimensionierten schiern über das eis gezogen werden, bevor der antarktische winter mit extremen tiefsttemperaturen und dauernacht einsetzt. nötig wurde der umzug, weil sich landeinwärts von halleyvi ein riesiger spalt im schelfeis geöffnet hatte und wuchs. er hätte in wenigen jahren den bisherigen standort vom rest des schelfeises trennen können und dadurch die arbeit der station erschwert und einen umzug noch komplizierter gemacht. die station wurde befindet sich nun 23","halley vi ist der name eines britischen wetterstationen, der im winter auf dem brunt-eisschereis der antarktis aufgebaut ist. das stationsgebäude stammt aus der 1960er-jahrhundertzeit. es ist in der antarktis wieder eingeebnet worden und wird für die nachfolge der beiden stationshöfe genutzt.",18.18
"als kleiner, aber hungriger tiefseefisch hat man eben einfach pech, wenn ein vorbeikommendes stück beute zu groß zum schlucken ist. oder? tatsächlich hat die natur einen weg gefunden. denn anders als bei den meisten anderen fischen ist zum einen bei allen in der tiefsee heimischen schuppendrachenfischen der schultergürtel nicht fest mit der kopf - und maulpartie verwachsen, und schon dies erlaubt eine größere flexibilität beim maulöffnen. bei mindestens fünf gattungen der familie ist in lauf der evolution zum anderen aber ein ganz eigener anatomischer knick hinzugekommen, den nun forscher vom smithsonian's national museum of natural history und dem muséum national d'histoire naturelle in frankreich entdeckt und beschrieben haben. die tiere verfügen zusätzlich über eine flexible gelenkartige verbindung zwischen hinterkopf und dem",die schädeldecke ist ein wesentlicher teil des rumpfes der landwirbeltiere ( stomiidae ). sie befindet sich zwischen den vorderhemden des schädels und der schädelspitze.,10.19
"schimpansen sind im umgang mit artgenossen nicht grundsätzlich friedlich : sie leben in sozialen gruppen mit komplexen rangordnungen, die durchaus mit gewalt gebildet und stabilisiert werden. für im feld beobachtende primatenforscher sind auch extrem handfeste auseinandersetzungen keine große überraschung. was nun aber ein team um jill pruetz von der iowa state university im film dokumentieren konnte, hat auch hartgesottene experten überrascht : mit bisher nie gesehenen gewaltakten traktierten die mitglieder einer schimpansengruppe über stunden noch den längst toten körper eines ehemaligen alphamännchens, das offenbar nach jahren der isolation wieder in die gruppe hatte zurückkehren wollen. das verhalten der tiere erlaube tiefe neue einblicke in furchtbewältigungsstrategien und gruppendynamik sowie die verarbeitung des","als koalitionsfieber wird ein verhaltensmuster bezeichnet, das bei primaten beobachtet werden kann, bei dem es zum partnerlapse eines oder mehrerer primaten kommt, und dieses nahezu unwillkürlich mit anderen primaten in kontakt tritt.",9.33
"zellattrappen, die auf chemische signale von bakterien reagieren und selbst signalstoffe aussenden, hat eine arbeitsgruppe um roberta lentini von der università di trento hergestellt. mit hilfe dieser kreation täuschten sie dem bakterium vibrio fischeri vor, es mit einem artgenossen zu tun zu haben, und vermittelten chemische signale zwischen zwei bakterienarten, die normalerweise nicht miteinander kommunizieren. wie die forscherin berichtet, umhüllte sie künstliche genabschnitte samt verschiedener hilfsmoleküle aus den kommunikationssystemen dreier gut erforschter bakterienarten mit membrankugeln aus cholesterin und einem künstlichen lipid. lentini zeigte anschließend in mehreren experimenten, dass diese einfache konstruktion in der lage ist, das so genannte quorum sensing echter bakterien zu","als artificial intelligence system ( acs, dt. „ künstliche intelligence-systeme “ ) wird eine klasse von verfahren der künstlichen intelligenz ( ki ) bezeichnet, die es ermöglicht, räumliche strukturen und prozesse der zellen zu modellieren. die forschungsergebnisse der artificial intelligence society ( acs ) und die publikation der ergebnisse der experimentellen forschung zu den vorgängen künstlicher intelligenz z. b. mittels eines maschinellen turing-tests sind der öffentlichkeit zugänglich",19.21
"ein lang gesuchter hinweis auf unterschiede zwischen materie und antimaterie ist in einem experiment am europäischen teilchenbeschleunigerzentrum cern zu tage getreten. in daten aus den ersten drei jahren laufzeit des large hadron collider spürte die lhcb - kollaboration indizien für eine cp - verletzung bei baryonen auf - teilchen und antiteilchen verhalten sich nicht immer exakt spiegelbildlich. solche winzigen unterschiede im verhalten erklären möglicherweise, weshalb das universum fast vollständig aus materie besteht und nur geringe spuren antimaterie enthält. bisher kannte man cp - verletzungen nur aus zerfällen von mesonen, also von teilchen aus zwei quarks. doch das standardmodell der teilchenphysik sagt voraus, dass es solche asymmetrischen zerfälle auch bei baryonen gibt, die aus drei","als cp-verletzung bezeichnet man in der teilchenphysik eine nicht-abdingbare symmetrie der teilchenphysik, die cp-symmetrie verliert. die cp-verletzung ist bekannt unter anderem in der molekularphysik und der theoretischen physik.",18.54
"ein wahres höllenwesen, als wäre es einem horrorfilm entsprungen : so wie diese sackartige kreatur mit ihrem beeindruckenden, kreisrunden maul sahen wohl die letzten gemeinsamen vorfahren von mensch und seeigel aus. das nun gefundene seeungeheuer wäre wirklich erschreckend, wäre es nicht so winzig klein. mit gerade einmal 1, 3millimeter größe, also kleiner als eine 1 - euro - münze dick, ist saccorhytus coronarius eher ein minimonster. gefunden wurden seine fossilierten überreste von einer forschergruppe um jian han von der universität nordwestchinas in xi'an. die wissenschaftler haben dazu die fossilien von den umliegenden steinchen getrennt. ein gar nicht so leichtes unterfangen, denn die kleinen, schwarzen, körnerartigen strukturen mussten","als deuterostome ( altgr. δένδρον dendron ‚baum ‘ ) oder deuterosmos ( altgr. δένδρον dendron ‚baum ‘ ) werden in der paläontologie die fossilen überreste vieler säugetier-fossilien chinas bezeichnet, die zu den cambrian-fossilien gehören. zu den deuterostomen gehören die bislang ältesten fossilien chinas, die aus orsten stammen.",13.92
"vor 74000jahren explodierte auf der indonesischen insel sumatra der supervulkan toba - sein ausbruch gilt als mögliche ursache dafür, dass die menschheit fast ausstarb und durch einen genetischen flaschenhals gehen musste : die aschewolken lösten weltweit einen vulkanischen winter aus und führte zu massiven hungersnöten bei mensch und tier. heute füllt ein see die caldera des supervulkans, aber die spuren der eruption sind noch überall zu finden und liefern geochemikern wie david budd von der universität uppsala und seinen kollegen hinweise darauf, was die gewaltige explosion ausgelöst haben könnte. insgesamt stieß der toba damals mehr als 2500kubikkilometer asche und gesteinsmaterial aus, in dem millimetergroße quarzkristalle eingebettet sind. diese","toba-zircon ist ein häufig vorkommendes mineral aus der mineralklasse der „ silikate und germanate “. es kristallisiert im hexagonalen kristallsystem mit der zusammensetzung caf2 [ sio4 ], ist also chemisch gesehen ein zirconium-nitrat. toba quartz kristallisiert im hexagonalen kristallsystem und entwickelt meist kurz- bis langprismatische kristalle mit einem schupfenförmigen glanz auf den oberflächen.",11.76
"mit einer spannweite von rund zwölfmetern und einem gewicht von bis zu 250kilogramm gehört hatzegopteryx zu den größten flugsauriern der kreidezeit. doch während viele seiner verwandten fisch und allenfalls kleine landtiere erbeuten konnte, erlegte dieser pterosaurier womöglich sogar arten, die so groß wie ponys oder kleinere pferde werden konnten. das legen zumindest fossilien nahe, die darren naish von der university of southampton und mark witton von der portsmouth university untersuchen konnten. die überreste, die aus dem heutigen transsilvanien stammen, deuten an, dass sich hatzegopteryx gehörig von anderen flugsauriern unterschied. während diese sich überwiegend durch lange hälse und beine auszeichneten, besaß hatzegopteryx","die azhdarchiden ( „ kleintiere der unterwelt “ ) sind eine gruppe von riesenartigen tierarten aus der ordnung der pterosaurier. zu ihnen zählen die cervicales und die azhdarchosaurier. sie stellen die größten tiere dar, die auf der erde lebten und von den meistens länger als 10 m im flügelspann und von allen anderen tierarten bis zu 220 kg im körpermasse. aufgrund von gemeinsamkeiten in der flügelform und der gewichtskraft weisen die azhdarchi",26.23
"auf den ersten blick kaum merklich, doch konstant bewegen sich die erdplatten auf unserem planeten : während beispielsweise indien weiter hinein nach asien drängt, entfernen sich nordamerika und europa jährlich um zweizentimeter voneinander. so unumstritten die theorie der plattentektonik heute ist, so viel wird weiterhin um ihre antriebskräfte diskutiert : treiben konvektionsströmungen aus dem erdmantel den prozess an und verhalten sich die kontinente passiv, oder spielen die platten eine aktive rolle und lösen den drift sogar selbst aus? ein wichtiges detail liefert daher die studie von david rowley, university of chicago, und seinem team in science advances. wärmeflüsse aus dem erdkern spielen dabei eine bedeutende rolle für den plattenantrieb, so ihre kalkulationen : ungefähr die hälfte der für die bewegung benötigten energie stammt demnach",die pazifische platte ( oder auch größere platte ) ist eine der vier hauptgürtel der erdkruste im statischen euklidischen raum. sie verbindet die platten der indopazifischen lithosphäre mit der lithosphäre der erde und bestimmt den rückgang des pazifischen mantels.,12.5
"vor allem blinde menschen nutzen schnalzlaute, die sie mit ihrer zunge produzieren, oder klicks mit der spitze eines stocks, um wie bei einem echolot die größe des umgebenden raums abzuschätzen. was dabei im gehirn vor sich geht, haben nun forscher der lmumünchen untersucht. demnach steckt dahinter ein enges zusammenspiel zwischen motorischen und sensorischen arealen. die auswertung der hirnscannerdaten zeigte, dass die hirnaktivität, die mit dem zungenschnalzen einhergeht, konstant blieb, das in den sensorischen arealen verarbeitete echo aber je nach raumgröße eine andere aktivität des gehirn hervorrief. um eine solche echolokation in der röhre des magnetresonanztomografen überhaupt möglich machen zu können, mussten","echoortung ( von griech. ἐγκέφαλος enképhalos, deutsch ‚gehör ‘, ‚sinn ‘, ‚organe ‘ ) ist die gesamtheit der echoortung, das heißt die aufnahme und speicherung von informationen über eine behauptete ortschaft. die echoortung ist eine form der echoortung, bei der das gehör verloren geht, ähnlich wie bei der fmrt. die echoortung ist eine methode der blindenhaushalte, bei der gehörlose oder seh",21.18
"nach der havarie des kernkraftwerks fukushima daiichi waren die bewohner der umliegenden städte womöglich einer geringeren strahlenbelastung ausgesetzt als bislang angenommen. darauf deutet nun zumindest eine studie von makoto miyazaki und ryugo hayano von den universitäten in fukushima und tokio hin. die beiden forscher werteten die daten einer umfangreichen messung aus, in deren rahmen die bewohner der stadt date, die etwa 50 bis 60kilometer nordwestlich des kernkraftwerks liegt, ihre persönliche strahlendosis praktisch selbst erhoben. dazu stattete die stadt ihre rund 65000einwohner innerhalb von wenigen monaten nach dem reaktorunglück im märz2011 mit eigenen dosimetern aus, die der großteil der menschen mindestens ein jahr lang stets bei sichtrug. die so gemessen",date-stadt ist eine japanische stadt im bezirk fukushima daiichi. sie liegt etwa 5060 km nördlich von fdnpp und 15 km westlich von takehara. in der stadt wurde im juli 2011 erstmals ein nachweis des radioaktiven inhalts der strahlung mit hilfe einesfus-kraftwerks durchgeführt.,22.22
"im südsommer2016 wurde offenbar, dass sich ein riesiger spalt im larsen - c - schelfeis auf der ostseite der antarktischen halbinsel beschleunigt ausweitet : die kluft ist über weite strecken 100meter breit, 500meter tief und reicht bis an die basis des schelfeises - und sie kommt offensichtlich nicht zur ruhe. satellitendaten belegen, dass sie seit jahresbeginn um weitere zehn kilometer länger geworden ist. mittlerweile fehlen nur noch 20kilometer, bis der bruch das offene meer erreicht und das eis endgültig teilt. es entstünde ein eisberg, der mehr als doppelt so groß wie das saarland wäre. es würde sich dann um einen der größten eisberge handeln, die weltweit bislang registriert worden wären, so der british antarctic survey. das schelfeis würde","der große eisberg der antarktis ( auch bekannt als larsen c ) ist ein großer eiskappenkrater in der antarktis, der sich zwischen der larsen a und der larsen c, der südlichsten der antarktischen halbinsel befindet, befindet. er befindet sich unterhalb des eiskappens, seine größe beträgt ungefähr 15.000 km. eisberge auf einer fläche von bis zu 5000 km sind in der lage, ihre geschwindigkeit mit der eines eisbergs zu acceleratieren. die geschwindigkeit, mit der sich das",25.49
"australiens tierwelt gilt wegen ihrer beuteltiere und anderer kreaturen bis heute als ziemlich einmalig. doch ist sie nur ein trauriger rest, denn vor 50000jahren umfasste die fauna des fünften kontinents riesige kängurus, tonnenschwere wombats, autogroße schildkröten, gewaltige warane und riesenvögel. sie sind heute alle verschwunden, und gifford miller von der university of colorado und sein team legen neue belege dafür vor, dass der mensch an ihrem aussterben schuld ist. die wissenschaftler untersuchten sedimentbohrkerne aus dem indischen ozean, die direkt vor der westaustralischen küste gezogen worden waren. die schichten umfassen die letzten 150000jahre und damit einen kompletten eiszeitzyklus. neben den sedimenten aus staub und anderen",die climatedriven hypothesis of australian megafauna ( dt. : klima-gestützte australische megafauna-hypothese ) liefert eine wissenschaftliche schätzung der auswirkungen von klimawandel und megafauna auf australien in geologisch kurzen zeitabschnitten vor der entstehung von megafauna vor rund 56.000 bis 55.000 jahren. die theorie wird oft auch als sahul oder climate driven hypothesis ( dt. : „ klima-gestützte australische megafauna-hypothese “ ) bezeichnet,12.72
"bakterien befallende viren können einander mitteilen, auf welchem weg sich je nach umweltbedingungen die übernahme einer wirtszelle am ehesten lohnt. diese art der kommunikation hatten wissenschaftler den zellparasiten bisher nicht zugetraut, weshalb sie wohl bis dato auch völlig übersehen wurde. nun soll untersucht werden, ob nicht nur bakteriophagen, sondern auch andere viren - etwa solche des menschen - ähnliche signale austauschen. träfe dies zu, so könnte man den erregern vielleicht in zukunft auf bisher unbeschrittenen wegen entgegentreten. zuerst abgefangen hat die bisher unbekannte kommunikation von bakteriophagen ein team von mikrobiologen um rotem sorek vom weizmann institute of science im israelischen rehovot. dabei hatte das team zunächst eigentlich nur auf signale von bacillus - subtilis - bakterien gelauscht","das geheimnis des virus ( englisch secret viral communication system, russisch код des virus ) ist ein problem, mit dem sich die infektionskrankheit eines anderen virus in sich selbst zurückverfolgen lässt, also so weitgehend verwirbelt wird, dass die wirtszelle nicht mehr infiziert werden kann.",13.66
"ein wahrscheinlich an der als rinderwahnsinn bekannt gewordenen variante der creutzfeldt - jakob - krankheit ( vcjd ) gestorbener 36 - jähriger mann aus großbritannien trug eine genvariante, die bisher vor der krankheit zu schützen schien. das berichtet ein team um tzehow mok vom university college london. frühere verdachtsfälle deuteten bereits darauf hin, dass menschen mit diesem genetischen merkmal sehr wohl erkranken. der todesfall vom februar2016 ist jedoch der erste, bei dem die vcjd tatsächlich nachgewiesen wurde. die arbeitsgruppe sieht nun die möglichkeit, dass mehr menschen mit dieser erbausstattung der vcjd zum opfer fallen. nach einer studie von2013 sind die mit der rinderseuche bse assoziierten prionen im gewebe von etwa einem halben promille aller brit","die archived appendix society ist eine gemeinnützige, britische non-profit-organisation, die sich mit der haltung, der aufklärung und der archivierung von infektionsdaten, den daten der entnahme und des transports von blut und blutprodukten befasst.",12.99
"sein ende kam, als die zivilisation einzug erhielt in die wildnis zentralasiens. jahrzehntelang jagten menschen den kaspischen tiger und verwandelten seine habitate in anbauflächen für die landwirtschaft. seit den 1970erjahren gelten die tiere, die bis zu drei meter lang wurden, als ausgestorben. nun präsentiert eine gruppe aus new yorker biologen und russischen umweltschützern einen ambitionierten plan, enge verwandte der riesigen raubkatzen in deren einstigen lebensraum zurückkehren zu lassen. das team will den sibirischen tiger in kasachstan ansiedeln. das erbgut von sibirischem und kaspischem tiger unterscheidet sich nur minimal, ergab eine analyse aus dem jahr2009. ihre gemeinsamen vorfahren wanderten demnach vor etwa 10000jahren","der kleinschnabel ( panthera tigris virgata ), auch kasachischer tiger oder mauertiger genannt, ist eine auf dem kaspischen meer vorkommende, ausgestorbene unterart des großschnabels ( panthera tigris ). als einziger vertreter der gattung panthera tigris ist der kleinschnabel in der familie der kieferngewächse ( pinaceae ) nicht näher mit dem großschnabel verwandt.",8.92
"einst sammelten sie sich in gewaltigen herden für ihre jahreszeitlichen wanderungen. doch durch exzessive jagd wurde der bestand der säbelantilopen oryx dammah immer weiter dezimiert. zuletzt fanden sich nur noch im naturschutzgebiet ouadirimé – ouadiachim im tschad frei lebende exemplare. die letzten starben in den 1990erjahren. seitdem gab es die antilope nur noch in zoos und wildparks. aber nun sind sie in die wildnis zurückgekehrt. seit august2016 leben wieder 23tiere in freiheit in ihrem angestammten verbreitungsgebiet im tschad. mit hilfe von sendern verfolgen naturschützer die kleine herde seither. sie sähen außerordentlich gesund aus, erklärt nun jared stabach vom smithsonian's national zoo and conserva",der spitzkegelige oderyx ( scimitar-horned oryx ) ist eine seltene afrikanische säugetierart aus der familie der kieferngewächse ( pinaceae ).,7.75
